_id,language,category,slug,url
features-diploma-design-ko,ko,feature,diploma-design,https://www.lovart.ai/ko/features/diploma-design
features-diploma-design-de,de,feature,diploma-design,https://www.lovart.ai/de/features/diploma-design
features-diploma-design-zh,zh,feature,diploma-design,https://www.lovart.ai/zh/features/diploma-design
features-diploma-design-fr,fr,feature,diploma-design,https://www.lovart.ai/fr/features/diploma-design
features-diploma-design-it,it,feature,diploma-design,https://www.lovart.ai/it/features/diploma-design
features-diploma-design-pt,pt,feature,diploma-design,https://www.lovart.ai/pt/features/diploma-design
features-diploma-design-ru,ru,feature,diploma-design,https://www.lovart.ai/ru/features/diploma-design
tools-ai-image-upscaler-ja,ja,tool,ai-image-upscaler,https://www.lovart.ai/ja/tools/ai-image-upscaler
tools-ai-image-upscaler-ko,ko,tool,ai-image-upscaler,https://www.lovart.ai/ko/tools/ai-image-upscaler
tools-ai-image-upscaler-de,de,tool,ai-image-upscaler,https://www.lovart.ai/de/tools/ai-image-upscaler
tools-ai-image-upscaler-zh-TW,zh-TW,tool,ai-image-upscaler,https://www.lovart.ai/zh-TW/tools/ai-image-upscaler
tools-ai-image-upscaler-fr,fr,tool,ai-image-upscaler,https://www.lovart.ai/fr/tools/ai-image-upscaler
tools-ai-image-upscaler-it,it,tool,ai-image-upscaler,https://www.lovart.ai/it/tools/ai-image-upscaler
tools-ai-image-upscaler-pt,pt,tool,ai-image-upscaler,https://www.lovart.ai/pt/tools/ai-image-upscaler
tools-ai-image-upscaler-ru,ru,tool,ai-image-upscaler,https://www.lovart.ai/ru/tools/ai-image-upscaler
features-anniversary-card-design-zh,zh,feature,anniversary-card-design,https://www.lovart.ai/zh/features/anniversary-card-design
features-secure-student-id-card-design-it,it,feature,secure-student-id-card-design,https://www.lovart.ai/it/features/secure-student-id-card-design
